,Pelle,Slmb,Cactus,Dif,Dorsal,Toll,MyD88,Nec,Tube,Spz,Targets,model_id,timepoint
0,0.5104340000000003,0.31677000000000005,0.4281879999999996,0.5283159999999998,0.5243690000000003,0.5157999999999998,0.4935569999999999,0.3119430000000001,0.4861799999999998,0.5538099999999998,0.4132089999999997,bn_11,0.0
1,0.5067699999999998,0.12571400000000005,0.40831500000000004,0.5762879999999998,0.5670910000000002,0.6068300000000004,0.5357709999999999,0.11938999999999998,0.5035369999999996,0.718041,0.38970000000000005,bn_11,1.0
2,0.5232090000000003,0.044892999999999975,0.42868899999999993,0.5710560000000003,0.5749499999999996,0.7385959999999999,0.6273430000000001,0.04999099999999999,0.553602,0.8544899999999995,0.4301449999999999,bn_11,2.0
3,0.5646260000000001,0.014495,0.4361970000000001,0.559316,0.571083,0.8410989999999999,0.7395439999999996,0.019582000000000002,0.6375949999999997,0.9272499999999999,0.45627800000000013,bn_11,3.0
4,0.6479279999999996,0.0058119999999999995,0.4004179999999999,0.5747509999999999,0.5797739999999999,0.913148,0.8374669999999997,0.006992000000000001,0.7416029999999998,0.9695869999999998,0.47908999999999985,bn_11,4.0
5,0.736745,0.0015869999999999999,0.33425599999999994,0.6136159999999999,0.6195379999999998,0.953692,0.9002449999999999,0.0035710000000000004,0.8291200000000001,0.9855649999999999,0.512448,bn_11,5.0
6,0.8205739999999999,0.0,0.2528459999999999,0.6765439999999999,0.6824329999999998,0.9761559999999999,0.9427989999999999,0.001592,0.895856,0.9922659999999999,0.570758,bn_11,6.0
7,0.8825930000000001,0.0,0.17936399999999997,0.753445,0.7540370000000001,0.9873289999999999,0.966564,0.000354,0.9386880000000001,0.995534,0.639324,bn_11,7.0
8,0.9214600000000001,0.0,0.12729200000000004,0.812504,0.818207,0.9929190000000001,0.9797470000000001,0.0,0.9584110000000001,0.998227,0.703276,bn_11,8.0
9,0.9490760000000001,0.0,0.086184,0.862277,0.867987,0.9963010000000001,0.9888180000000001,0.0,0.9738500000000001,0.9989990000000001,0.7724340000000001,bn_11,9.0
10,0.96781,0.0,0.055694,0.913145,0.907337,0.998893,0.994205,0.0,0.984335,0.999298,0.840885,bn_11,10.0
11,0.982866,0.0,0.032268000000000005,0.94527,0.938571,0.999594,0.99741,0.0,0.992208,0.999838,0.886432,bn_11,11.0
12,0.9908600000000001,0.0,0.018468000000000002,0.967058,0.962936,0.999999,0.9988170000000001,0.0,0.996179,0.999999,0.922451,bn_11,12.0
13,0.995954,0.0,0.011416,0.980966,0.9775539999999999,0.999999,0.999889,0.0,0.998122,0.999999,0.948051,bn_11,13.0
14,0.9979399999999999,0.0,0.005323,0.989822,0.9868469999999999,0.999999,0.999999,0.0,0.9999899999999999,0.999999,0.967864,bn_11,14.0
15,0.999417,0.0,0.003156,0.992964,0.99356,1.000001,1.000001,0.0,1.000001,1.000001,0.979201,bn_11,15.0
