,B,L,A,Lm,Am,M,Ge,C,Le,P,Lem,Rm,R,model_id,timepoint
14916,0.758223,0.7306720000000001,0.7567440000000001,0.9973860000000001,0.6831060000000002,0.7678580000000002,0.000777,0.9936040000000003,0.9991790000000002,0.755382,0.000613,0.22797700000000007,0.24129900000000007,bn_890,6.0
14917,0.766863,0.7512090000000001,0.7704670000000001,0.9997380000000001,0.7216619999999999,0.7720269999999999,0.0005,0.9973770000000001,1.0000040000000001,0.767228,0.0,0.22482599999999997,0.2324029999999999,bn_890,7.0
14918,0.7687809999999998,0.7632409999999998,0.7738,0.9999979999999998,0.7463150000000001,0.7754889999999999,0.000177,0.99906,0.9999979999999998,0.7721209999999996,0.0,0.21998199999999996,0.224342,bn_890,8.0
14919,0.775564,0.7685220000000001,0.7764270000000001,0.999999,0.7560060000000002,0.7803539999999999,0.0,0.9995419999999999,0.999999,0.775754,0.0,0.21889999999999998,0.22288599999999997,bn_890,9.0
14920,0.7797519999999999,0.7744639999999999,0.7786459999999998,1.000001,0.7660119999999999,0.7802060000000001,0.0,1.000001,1.000001,0.7783909999999999,0.0,0.218996,0.221861,bn_890,10.0
14921,0.7809999999999999,0.77845,0.78006,0.999999,0.774293,0.780655,0.0,0.999999,0.999999,0.779701,0.0,0.218551,0.220084,bn_890,11.0
14922,0.7809999999999999,0.7806810000000001,0.7812009999999999,1.0,0.7782930000000001,0.781716,0.0,1.0,1.0,0.781099,0.0,0.21759799999999999,0.21826,bn_890,12.0
14923,0.781274,0.781322,0.7815,1.000001,0.7791819999999999,0.782032,0.0,1.000001,1.000001,0.781001,0.0,0.21820399999999998,0.218488,bn_890,13.0
14924,0.781849,0.781066,0.781721,1.0000010000000001,0.7804030000000001,0.7820010000000001,0.0,1.0000010000000001,1.0000010000000001,0.781991,0.0,0.218322,0.218415,bn_890,14.0
14925,0.7819999999999999,0.7815,0.7819999999999999,1.0,0.7815,0.7819999999999999,0.0,1.0,1.0,0.7819999999999999,0.0,0.218,0.218,bn_890,15.0
14926,0.7819999999999999,0.7815,0.7819999999999999,1.0,0.7815,0.7819999999999999,0.0,1.0,1.0,0.7819999999999999,0.0,0.218,0.218,bn_890,16.0
14927,0.7819999999999999,0.7815,0.7819999999999999,1.0,0.7815,0.7819999999999999,0.0,1.0,1.0,0.7819999999999999,0.0,0.218,0.218,bn_890,17.0
14928,0.781999,0.781989,0.781999,0.9999990000000001,0.781734,0.781999,0.0,0.9999990000000001,0.9999990000000001,0.781999,0.0,0.218,0.218,bn_890,18.0
14929,0.782,0.782,0.782,1.0,0.782,0.782,0.0,1.0,1.0,0.782,0.0,0.218,0.218,bn_890,19.0
14930,0.782,0.782,0.782,1.0,0.782,0.782,0.0,1.0,1.0,0.782,0.0,0.218,0.218,bn_890,20.0
14931,0.782,0.782,0.782,1.0,0.782,0.782,0.0,1.0,1.0,0.782,0.0,0.218,0.218,bn_890,21.0
14932,0.782,0.782,0.782,1.0,0.782,0.782,0.0,1.0,1.0,0.782,0.0,0.218,0.218,bn_890,22.0
14933,0.782,0.782,0.782,1.0,0.782,0.782,0.0,1.0,1.0,0.782,0.0,0.218,0.218,bn_890,23.0
14934,0.782,0.782,0.782,1.0,0.782,0.782,0.0,1.0,1.0,0.782,0.0,0.218,0.218,bn_890,24.0
14935,0.782,0.782,0.782,1.0,0.782,0.782,0.0,1.0,1.0,0.782,0.0,0.218,0.218,bn_890,25.0
14936,0.782,0.782,0.782,1.0,0.782,0.782,0.0,1.0,1.0,0.782,0.0,0.218,0.218,bn_890,26.0
14937,0.782,0.782,0.782,1.0,0.782,0.782,0.0,1.0,1.0,0.782,0.0,0.218,0.218,bn_890,27.0
14938,0.782,0.782,0.782,1.0,0.782,0.782,0.0,1.0,1.0,0.782,0.0,0.218,0.218,bn_890,28.0
14939,0.782,0.782,0.782,1.0,0.782,0.782,0.0,1.0,1.0,0.782,0.0,0.218,0.218,bn_890,29.0
14940,0.5375259999999997,0.6559739999999996,0.6150149999999986,0.6224209999999991,0.6170339999999992,0.6492319999999988,0.6885709999999996,0.45487699999999964,0.685544999999999,0.5467959999999992,0.3001559999999999,0.35273299999999963,0.3802360000000003,bn_176,0.0
14941,0.6811749999999999,0.8370680000000005,0.7962249999999992,0.7861620000000006,0.8012040000000005,0.8235239999999996,0.8844660000000003,0.28853100000000004,0.8818680000000007,0.6818719999999995,0.10688199999999996,0.17708500000000005,0.20223499999999994,bn_176,1.0
14942,0.8047469999999998,0.9280030000000001,0.9118510000000002,0.8842800000000002,0.9042990000000003,0.9112950000000002,0.9543470000000004,0.15474599999999994,0.9594220000000002,0.8071610000000001,0.038382,0.08371500000000001,0.08516999999999997,bn_176,2.0
14943,0.8860259999999999,0.9693819999999995,0.9633579999999999,0.9411289999999994,0.9516319999999996,0.9591069999999996,0.9822829999999996,0.07597699999999999,0.9828649999999994,0.8958779999999998,0.013083,0.03620099999999999,0.037907,bn_176,3.0
14944,0.9327529999999999,0.9857319999999998,0.982379,0.9745029999999999,0.9798399999999998,0.9785839999999999,0.9940149999999999,0.035759000000000006,0.9936849999999998,0.9426009999999999,0.005782999999999999,0.015475,0.013960999999999998,bn_176,4.0
14945,0.964759,0.9938279999999997,0.9919419999999998,0.9871719999999998,0.9941159999999999,0.9897919999999998,0.9974719999999999,0.01247,0.9971619999999999,0.9684369999999999,0.002647,0.00496,0.0049819999999999994,bn_176,5.0
14946,0.981495,0.9965630000000001,0.995566,0.9938470000000001,0.9979110000000001,0.9957860000000001,0.9990520000000002,0.005836,0.9984390000000002,0.9842140000000001,0.000669,0.002664,0.0021869999999999997,bn_176,6.0
14947,0.992198,0.9984990000000001,0.9980550000000001,0.996662,0.9992530000000001,0.9985790000000001,0.9999150000000001,0.001819,0.9994350000000001,0.991898,0.0,0.0017050000000000001,0.001099,bn_176,7.0
14948,0.996458,0.998501,0.999108,0.998042,0.999501,0.999307,1.000001,3.7e-05,0.999501,0.995189,0.0,0.000509,0.000553,bn_176,8.0
14949,0.998668,0.9991410000000001,0.999895,0.998819,0.999995,0.999712,1.000001,0.0,0.999573,0.997072,0.0,0.0,0.000213,bn_176,9.0
14950,0.9996529999999999,0.9996769999999999,1.0,0.999548,1.0,1.0,1.0,0.0,1.0,0.998335,0.0,0.0,0.0,bn_176,10.0
14951,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.999095,0.0,0.0,0.0,bn_176,11.0
14952,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9995,0.0,0.0,0.0,bn_176,12.0
14953,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.999932,0.0,0.0,0.0,bn_176,13.0
14954,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,bn_176,14.0
14955,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,bn_176,15.0
14956,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,bn_176,16.0
14957,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,bn_176,17.0
14958,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,bn_176,18.0
14959,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,bn_176,19.0
14960,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,bn_176,20.0
14961,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,bn_176,21.0
14962,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,bn_176,22.0
14963,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,bn_176,23.0
14964,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,bn_176,24.0
14965,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,bn_176,25.0
