,Ae,T,A,Aem,Am,Ara_minus,Ara_plus,Ge,C,MS,E,L,MT,model_id,timepoint
26413,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,bn_637,13.0
26414,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,bn_637,14.0
26415,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,bn_637,15.0
26416,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,bn_637,16.0
26417,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,bn_637,17.0
26418,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,bn_637,18.0
26419,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,bn_637,19.0
26420,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,bn_637,20.0
26421,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,bn_637,21.0
26422,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,bn_637,22.0
26423,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,bn_637,23.0
26424,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,bn_637,24.0
26425,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,bn_637,25.0
26426,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,bn_637,26.0
26427,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,bn_637,27.0
26428,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,bn_637,28.0
26429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,bn_637,29.0
26430,0.3248609999999998,0.512797999999999,0.3777199999999993,0.6930829999999988,0.4400289999999996,0.705677999999999,0.3696570000000001,0.31710099999999947,0.5490239999999997,0.38428199999999946,0.4652389999999999,0.641672999999999,0.5799819999999994,bn_826,0.0
26431,0.12184099999999995,0.5900459999999996,0.20679999999999996,0.8850650000000007,0.2662609999999999,0.8921350000000009,0.2088640000000001,0.10526099999999991,0.7333350000000007,0.251793,0.3622749999999996,0.8444750000000002,0.6911470000000006,bn_826,1.0
26432,0.046998,0.6966809999999998,0.105263,0.9575510000000002,0.14240400000000006,0.9573299999999993,0.10893,0.03509000000000001,0.8727729999999999,0.16929399999999994,0.2692189999999999,0.9398939999999999,0.7900210000000004,bn_826,2.0
26433,0.016708,0.7941539999999999,0.052483,0.9826229999999998,0.072739,0.9853839999999999,0.059015,0.012989000000000002,0.9378179999999999,0.10727700000000001,0.18536400000000014,0.9768169999999999,0.8780579999999999,bn_826,3.0
26434,0.005241,0.87082,0.025544,0.9947379999999999,0.029577000000000003,0.993101,0.03291500000000001,0.0019089999999999999,0.9744810000000002,0.057452,0.113788,0.9903379999999998,0.9320810000000002,bn_826,4.0
26435,0.0019199999999999998,0.923967,0.010306999999999998,0.998209,0.012299999999999998,0.997279,0.012892,0.00096,0.9906,0.030040000000000004,0.06553499999999998,0.9965620000000001,0.9653290000000001,bn_826,5.0
26436,0.000624,0.95908,0.003424,0.9995990000000001,0.00612,0.9985500000000002,0.005048,8.4e-05,0.9968150000000001,0.015959,0.032088,0.9993630000000001,0.9840620000000001,bn_826,6.0
26437,0.000464,0.9776670000000001,0.0007670000000000001,1.000001,0.0026050000000000005,0.99972,0.00287,0.0,0.9995280000000001,0.007795000000000002,0.018679,0.9998650000000001,0.9949060000000001,bn_826,7.0
26438,0.0,0.9895039999999999,0.000282,1.000002,0.000936,1.000002,0.001559,0.0,1.000002,0.004142,0.01178,1.000002,0.998531,bn_826,8.0
26439,0.0,0.995578,0.0,1.0,0.0005,1.0,0.00116,0.0,1.0,0.002172,0.006729000000000001,1.0,1.0,bn_826,9.0
26440,0.0,0.998727,0.0,1.0,0.000121,1.0,0.0,0.0,1.0,0.001759,0.002673,1.0,1.0,bn_826,10.0
26441,0.0,0.999,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.000719,0.000918,1.0,1.0,bn_826,11.0
26442,0.0,0.999459,0.0,1.0,0.0,1.0,0.0,0.0,1.0,5.3e-05,0.000337,1.0,1.0,bn_826,12.0
26443,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,bn_826,13.0
26444,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,bn_826,14.0
26445,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,bn_826,15.0
26446,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,bn_826,16.0
26447,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,bn_826,17.0
26448,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,bn_826,18.0
26449,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,bn_826,19.0
26450,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,bn_826,20.0
26451,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,bn_826,21.0
26452,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,bn_826,22.0
26453,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,bn_826,23.0
26454,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,bn_826,24.0
26455,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,bn_826,25.0
26456,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,bn_826,26.0
26457,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,bn_826,27.0
26458,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,bn_826,28.0
26459,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,bn_826,29.0
26460,0.6947150000000019,0.5410140000000012,0.6261270000000002,0.30855699999999997,0.4829280000000007,0.32091500000000034,0.645275000000001,0.3196590000000004,0.5429620000000004,0.4547560000000005,0.49904200000000043,0.35308600000000057,0.6124450000000009,bn_473,0.0
26461,0.8913700000000004,0.6690940000000002,0.8238120000000001,0.10389899999999995,0.5338549999999999,0.12236599999999997,0.8035439999999999,0.11954900000000004,0.7132759999999999,0.47119999999999984,0.47025599999999984,0.15472399999999997,0.8037709999999995,bn_473,1.0
26462,0.9587589999999993,0.8060449999999992,0.9326239999999999,0.03424699999999999,0.6503829999999995,0.043332000000000016,0.8933789999999996,0.050144,0.850721,0.5951649999999997,0.512883,0.06277900000000004,0.9129099999999994,bn_473,2.0
26463,0.9859490000000002,0.90354,0.9675800000000001,0.010496,0.771323,0.018224999999999998,0.9443040000000001,0.017606000000000004,0.9270490000000001,0.7501550000000001,0.628109,0.02080999999999999,0.9611850000000001,bn_473,3.0
26464,0.9955829999999999,0.953333,0.9863609999999999,0.004894,0.8644930000000002,0.006968,0.9732259999999999,0.007814,0.9683660000000001,0.8662230000000001,0.753918,0.008161999999999997,0.9826549999999998,bn_473,4.0
26465,0.9988860000000003,0.9746260000000001,0.9931580000000001,0.002526,0.9250780000000001,0.001812,0.9893200000000002,0.003594,0.9848890000000001,0.932556,0.8525690000000001,0.002471,0.9920150000000002,bn_473,5.0
26466,0.99988,0.98702,0.997659,0.001181,0.9648410000000001,0.000553,0.9942279999999999,0.001669,0.991249,0.964955,0.915282,0.001552,0.996506,bn_473,6.0
26467,1.000003,0.9934649999999999,0.9997939999999998,1.7e-05,0.9846959999999999,0.0005,0.9974509999999999,0.000422,0.9964989999999998,0.9829689999999999,0.9536469999999998,0.000536,0.9981939999999999,bn_473,7.0
26468,1.0000010000000001,0.995563,1.0000010000000001,0.0,0.992194,0.000268,0.999001,0.0,0.999051,0.994614,0.976507,0.0,0.99855,bn_473,8.0
26469,1.0,0.9975980000000001,1.0,0.0,0.9948220000000001,0.0,0.999368,0.0,0.9999990000000001,0.9969520000000001,0.9885430000000001,0.0,0.999492,bn_473,9.0
26470,0.999999,0.998999,0.999999,0.0,0.996543,0.0,0.999756,0.0,0.999999,0.9987889999999999,0.995857,0.0,0.999999,bn_473,10.0
26471,1.0,0.999334,1.0,0.0,0.999207,0.0,1.0,0.0,1.0,1.0,0.998796,0.0,1.0,bn_473,11.0
26472,1.0,0.99956,1.0,0.0,0.9995,0.0,1.0,0.0,1.0,1.0,0.999721,0.0,1.0,bn_473,12.0
26473,1.0,1.0,1.0,0.0,0.9995,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,bn_473,13.0
26474,1.0,1.0,1.0,0.0,0.99983,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,bn_473,14.0
26475,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,bn_473,15.0
26476,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,bn_473,16.0
26477,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,bn_473,17.0
26478,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,bn_473,18.0
26479,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,bn_473,19.0
26480,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,bn_473,20.0
26481,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,bn_473,21.0
26482,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,bn_473,22.0
26483,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,bn_473,23.0
26484,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,bn_473,24.0
26485,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,bn_473,25.0
26486,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,bn_473,26.0
26487,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,bn_473,27.0
26488,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,bn_473,28.0
26489,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,bn_473,29.0
26490,0.6887320000000001,0.5325360000000001,0.6079080000000003,0.3224150000000004,0.4978669999999999,0.3047419999999994,0.36246999999999935,0.31452599999999964,0.5437379999999995,0.3782479999999999,0.45497100000000024,0.3974209999999997,0.5818680000000002,bn_341,0.0
26491,0.8852329999999986,0.5982019999999992,0.8016969999999994,0.10922899999999998,0.5347009999999999,0.11139100000000007,0.17151799999999995,0.11392500000000003,0.7224379999999992,0.23920299999999997,0.34842100000000015,0.21373199999999976,0.6769269999999986,bn_341,1.0
26492,0.9603080000000006,0.6815340000000001,0.9115349999999999,0.03571300000000001,0.5931030000000007,0.038376,0.08430100000000004,0.039367000000000006,0.8595709999999998,0.1492519999999999,0.24676299999999998,0.10748100000000003,0.7774579999999996,bn_341,2.0
26493,0.9868299999999999,0.7757959999999999,0.9651879999999997,0.011558,0.6715230000000002,0.014478000000000001,0.043877,0.012130000000000002,0.9353509999999997,0.08986100000000001,0.16547800000000001,0.04607399999999998,0.8677679999999997,bn_341,3.0
26494,0.9950630000000001,0.8591030000000001,0.9862430000000002,0.005630999999999999,0.765192,0.005602000000000001,0.018913,0.002706,0.9743780000000001,0.049644999999999995,0.10379999999999999,0.019703999999999996,0.9261100000000002,bn_341,4.0
26495,0.997852,0.91872,0.994597,0.003901,0.8445159999999998,0.001737,0.008371,0.000103,0.989999,0.027293,0.058683,0.007996,0.9618570000000001,bn_341,5.0
26496,0.9988609999999999,0.954752,0.9983289999999999,0.002208,0.9024369999999999,0.000486,0.004234,0.0,0.9955619999999998,0.016157,0.03566600000000001,0.0036820000000000004,0.9804779999999998,bn_341,6.0
26497,0.9999939999999999,0.9755889999999998,0.999467,0.000861,0.9455159999999999,0.0,0.0022540000000000004,0.0,0.9985689999999999,0.009859,0.020528,0.001254,0.990957,bn_341,7.0
26498,1.000001,0.989336,0.999612,0.0005,0.971005,0.0,0.000675,0.0,0.999126,0.004129,0.009597999999999999,0.00088,0.996377,bn_341,8.0
26499,0.9999990000000001,0.994155,0.9999990000000001,2.7e-05,0.984572,0.0,0.0,0.0,0.999499,0.001525,0.004752,3e-06,0.9982500000000001,bn_341,9.0
26500,1.0,0.997556,1.0,0.0,0.9926039999999999,0.0,0.0,0.0,0.9994999999999999,0.000274,0.002195,0.0,0.999404,bn_341,10.0
26501,1.0,0.9984999999999999,1.0,0.0,0.995985,0.0,0.0,0.0,0.999705,0.0,0.000913,0.0,0.9994999999999999,bn_341,11.0
26502,0.999999,0.9988049999999999,0.999999,0.0,0.9961869999999999,0.0,0.0,0.0,0.999999,0.0,0.0005,0.0,0.999668,bn_341,12.0
26503,0.999999,0.999775,0.999999,0.0,0.9975879999999999,0.0,0.0,0.0,0.999999,0.0,3.3e-05,0.0,0.999999,bn_341,13.0
26504,1.0,1.0,1.0,0.0,0.99892,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,bn_341,14.0
26505,1.0,1.0,1.0,0.0,0.999512,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,bn_341,15.0
26506,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,bn_341,16.0
26507,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,bn_341,17.0
26508,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,bn_341,18.0
26509,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,bn_341,19.0
26510,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,bn_341,20.0
26511,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,bn_341,21.0
26512,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,bn_341,22.0
26513,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,bn_341,23.0
26514,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,bn_341,24.0
26515,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,bn_341,25.0
