model_id,Cluster,Attractor
bn_1782,29,35
bn_1783,17,22
bn_1784,59,14
bn_1785,38,40
bn_1786,59,14
bn_1787,54,5
bn_1788,12,11
bn_1789,70,7
bn_179,40,37
bn_1790,12,11
bn_1791,22,2
bn_1792,50,24
bn_1793,50,24
bn_1794,48,15
bn_1795,48,15
bn_1796,50,24
bn_1797,50,24
bn_1798,48,15
bn_1799,48,15
bn_18,2,39
bn_180,60,23
bn_1800,9,3
bn_1801,9,3
bn_1802,36,15
bn_1803,36,15
bn_1804,9,3
bn_1805,9,3
bn_1806,36,15
bn_1807,36,15
bn_1808,60,23
bn_1809,37,33
bn_181,37,33
bn_1810,60,23
bn_1811,73,27
bn_1812,44,6
bn_1813,57,60
bn_1814,44,6
bn_1815,49,17
bn_1816,4,9
bn_1817,45,52
bn_1818,4,9
bn_1819,63,71
bn_182,2,39
bn_1820,69,6
bn_1821,32,60
bn_1822,69,6
bn_1823,49,17
bn_1824,31,50
bn_1825,31,50
bn_1826,7,59
bn_1827,7,59
bn_1828,46,21
bn_1829,46,21
bn_183,35,73
bn_1830,3,4
bn_1831,3,4
bn_1832,31,50
bn_1833,31,50
bn_1834,7,59
bn_1835,7,59
bn_1836,46,21
bn_1837,46,21
bn_1838,3,4
bn_1839,3,4
bn_184,18,16
bn_1840,13,8
bn_1841,13,8
bn_1842,21,13
bn_1843,21,13
bn_1844,6,21
bn_1845,6,21
bn_1846,56,4
bn_1847,56,4
bn_1848,13,8
bn_1849,13,8
bn_185,40,62
bn_1850,21,13
bn_1851,21,13
bn_1852,6,21
bn_1853,6,21
bn_1854,56,4
bn_1855,56,4
bn_1856,47,1
bn_1857,74,49
bn_1858,47,1
bn_1859,8,47
bn_186,60,23
bn_1860,39,42
bn_1861,66,66
bn_1862,39,42
bn_1863,66,72
bn_1864,5,14
bn_1865,15,40
bn_1866,5,14
bn_1867,51,5
bn_1868,52,11
bn_1869,34,7
bn_187,73,44
bn_1870,52,11
bn_1871,34,2
bn_1872,11,41
bn_1873,26,48
bn_1874,11,41
bn_1875,26,38
bn_1876,25,46
bn_1877,16,57
bn_1878,25,46
bn_1879,16,19
bn_188,33,11
bn_1880,24,14
bn_1881,67,40
bn_1882,5,14
bn_1883,15,5
bn_1884,33,11
bn_1885,42,7
bn_1886,33,11
bn_1887,22,2
bn_1888,19,29
bn_1889,19,29
bn_189,42,7
bn_1890,27,15
bn_1891,27,15
bn_1892,19,29
bn_1893,19,29
bn_1894,27,15
bn_1895,27,15
bn_1896,65,12
bn_1897,65,12
bn_1898,48,15
bn_1899,48,15
bn_19,35,73
bn_190,24,14
bn_1900,65,12
bn_1901,65,12
bn_1902,48,15
bn_1903,48,15
bn_1904,28,53
bn_1905,53,63
bn_1906,28,53
bn_1907,53,58
bn_1908,71,6
bn_1909,0,60
bn_191,67,40
bn_1910,71,6
bn_1911,0,17
bn_1912,11,25
bn_1913,30,43
bn_1914,11,25
bn_1915,30,55
bn_1916,44,6
bn_1917,57,60
bn_1918,44,6
bn_1919,49,17
bn_192,44,6
bn_1920,1,36
bn_1921,1,36
bn_1922,10,31
bn_1923,10,31
bn_1924,6,21
bn_1925,6,21
bn_1926,56,4
bn_1927,56,4
bn_1928,1,36
bn_1929,1,36
bn_193,32,60
bn_1930,10,31
bn_1931,10,31
bn_1932,6,21
bn_1933,6,21
bn_1934,56,4
bn_1935,56,4
bn_1936,61,30
bn_1937,61,30
bn_1938,14,10
bn_1939,14,10
bn_194,33,11
bn_1940,43,21
bn_1941,43,21
bn_1942,23,4
bn_1943,23,4
bn_1944,61,30
bn_1945,61,30
bn_1946,14,10
bn_1947,14,10
bn_1948,43,21
bn_1949,43,21
bn_195,64,32
bn_1950,23,4
bn_1951,23,4
bn_1952,18,16
bn_1953,40,37
bn_1954,18,16
bn_1955,40,51
bn_1956,2,39
bn_1957,55,61
bn_1958,2,39
bn_1959,35,26
bn_196,24,14
bn_1960,24,14
bn_1961,67,40
bn_1962,24,14
bn_1963,15,5
bn_1964,33,11
bn_1965,70,7
bn_1966,33,11
bn_1967,22,2
bn_1968,4,64
bn_1969,41,54
bn_197,68,28
bn_1970,4,64
bn_1971,20,75
bn_1972,29,35
bn_1973,17,34
bn_1974,29,35
bn_1975,17,22
bn_1976,59,14
bn_1977,38,40
bn_1978,59,14
bn_1979,54,5
bn_198,44,6
bn_1980,12,11
bn_1981,70,7
bn_1982,12,11
bn_1983,22,2
bn_1984,50,24
bn_1985,50,24
bn_1986,48,15
bn_1987,48,15
bn_1988,50,24
bn_1989,50,24
bn_199,0,70
bn_1990,48,15
bn_1991,48,15
bn_1992,9,3
bn_1993,9,3
bn_1994,36,15
bn_1995,36,15
bn_1996,9,3
bn_1997,9,3
bn_1998,36,15
bn_1999,36,15
bn_2,56,4
bn_20,33,11
bn_200,29,35
bn_2000,60,23
bn_2001,37,33
bn_2002,60,23
bn_2003,37,27
bn_2004,44,6
bn_2005,57,60
bn_2006,44,6
bn_2007,49,17
bn_2008,4,9
bn_2009,45,52
bn_201,17,34
bn_2010,4,9
bn_2011,63,71
bn_2012,69,6
bn_2013,32,60
bn_2014,69,6
bn_2015,49,17
bn_2016,31,50
bn_2017,31,50
bn_2018,7,59
bn_2019,7,59
bn_202,4,64
bn_2020,46,21
bn_2021,46,21
bn_2022,3,4
bn_2023,3,4
bn_2024,31,50
bn_2025,31,50
bn_2026,7,59
bn_2027,7,59
bn_2028,46,21
bn_2029,46,21
bn_203,41,54
bn_2030,3,4
bn_2031,3,4
